Genre,period_active
Hip-hop,2022.0
Hip-hop,2023.0
Hip-hop,2008.0
Hip-hop,2009.0
Hip-hop,2010.0
Hip-hop,2011.0
Hip-hop,2012.0
Hip-hop,2013.0
Hip-hop,2014.0
Hip-hop,2015.0
Hip-hop,2016.0
Hip-hop,2017.0
Hip-hop,2018.0
Hip-hop,2019.0
Hip-hop,2020.0
Hip-hop,2021.0
Hip-hop,2022.0
Hip-hop,2023.0
